,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd
94,U001,200769623,WAL-MAR llc,,2020,1930709919,29-03-2020,13-04-2020,29-03-2020,NAH4,1121.15
95,U001,200769623,WAL-MAR llc,,2020,1930752568,06-04-2020,21-04-2020,06-04-2020,NAH4,11394.84
102,CA02,140105847,GORDON F co,,2020,2960627274,08-04-2020,18-04-2020,08-04-2020,CA10,2579.64
110,U001,200744019,TARG foundation,,2020,1930648342,15-03-2020,30-03-2020,15-03-2020,NAA8,52123.3
112,U001,200769623,WAL-MAR systems,,2020,1930632791,10-03-2020,25-03-2020,10-03-2020,NAH4,14994.01
113,U001,200769623,WAL-MAR llc,,2020,1930617194,06-03-2020,21-03-2020,06-03-2020,NAH4,36.06
131,U001,200418007,AM in,,2020,1930752243,06-04-2020,21-04-2020,06-04-2020,NAA8,25836.19
135,U001,200739006,AL foundation,,2020,1930768064,15-04-2020,30-04-2020,15-04-2020,NAA8,4309.05
137,U001,100031704,DELHAIZE associates,,2020,1930789873,15-04-2020,30-04-2020,15-04-2020,NAA8,70181.07
138,U001,200769623,WAL-MAR trust,,2020,1930705172,28-03-2020,12-04-2020,28-03-2020,NAH4,3403.8
148,U001,200744019,TARG systems,,2020,1930620634,10-03-2020,14-05-2020,10-03-2020,NAGD,10665.53
178,U001,200769623,WAL-MAR ,,2020,1930676002,21-03-2020,05-04-2020,21-03-2020,NAH4,7280.51
188,U001,200726979,BJ'S  corporation,,2020,1930585378,02-03-2020,17-03-2020,02-03-2020,NAA8,13681.7
193,U001,200706844,WINC associates,,2020,1930773419,07-04-2020,22-04-2020,07-04-2020,NAA8,33947.85
197,U001,200793830,M llc,,2020,1930767747,08-04-2020,23-04-2020,08-04-2020,NAA8,4537.14
199,U001,200769623,WAL-MAR foundation,,2020,1930750455,06-04-2020,21-04-2020,06-04-2020,NAH4,14355.96
200,U001,200769623,WAL-MAR systems,,2020,1930738904,03-04-2020,18-04-2020,03-04-2020,NAH4,367.71
203,U001,200769623,WAL-MAR trust,,2020,1930862467,06-05-2020,21-05-2020,06-05-2020,NAH4,56284.77
214,U001,200769623,WAL-MAR systems,,2020,1930582162,29-02-2020,15-03-2020,29-02-2020,NAH4,50493.86
215,U001,200769623,WAL-MAR llc,,2020,1930802490,21-04-2020,06-05-2020,21-04-2020,NAH4,15489.43
229,CA02,140104423,METRO  llc,,2020,2960617050,27-02-2020,11-03-2020,01-03-2020,CA10,93179.352
237,U001,200726979,BJ'S  systems,,2020,1930801417,19-04-2020,04-05-2020,19-04-2020,NAA8,360.33
242,U001,200743996,STATER  llc,,2020,1930660304,16-03-2020,20-05-2020,16-03-2020,NAGD,3826.03
254,U001,200752302,KROGER trust,,2020,1930733767,02-04-2020,17-04-2020,02-04-2020,NAA8,96674.05
258,CA02,140105686,SYSC llc,,2020,2960633120,06-05-2020,18-05-2020,08-05-2020,CA10,43230.299
260,U001,200711029,WEGMAN corp,,2020,1930742932,03-04-2020,18-04-2020,03-04-2020,NAA8,14382.22
264,CA02,CCU001,KRAFT  corporation,,2020,2960622220,20-03-2020,27-04-2020,23-03-2020,NAG2,17828.069
265,U001,200769623,WAL-MAR llc,,2020,1930804924,21-04-2020,06-05-2020,21-04-2020,NAH4,35509.95
268,U001,200769623,WAL-MAR associates,,2020,1930746955,05-04-2020,20-04-2020,05-04-2020,NAH4,13512.61
272,U001,200772670,ASSOCIAT corp,,2020,1930698156,24-03-2020,08-04-2020,24-03-2020,NAU5,24421.33
275,U001,200769623,WAL-MAR co,,2020,1930801200,19-04-2020,04-05-2020,19-04-2020,NAH4,11217.33
277,U001,200769623,WAL-MAR systems,,2020,1930776682,13-04-2020,28-04-2020,13-04-2020,NAH4,12554.13
288,U001,200720238,WOODM co,,2020,1930858727,06-05-2020,21-05-2020,06-05-2020,NAA8,126919.03
295,CA02,140106408,WAL-M in,,2020,2960631200,25-04-2020,05-05-2020,25-04-2020,CA10,28537.684
301,U001,200769623,WAL-MAR co,,2020,1930729999,01-04-2020,16-04-2020,01-04-2020,NAH4,24834.9
311,U001,200769623,WAL-MAR us,,2020,1930653060,15-03-2020,30-03-2020,15-03-2020,NAH4,50202.83
312,U001,200769623,WAL-MAR us,,2020,1930715979,01-04-2020,16-04-2020,01-04-2020,NAH4,8299.7
314,U001,200799367,MCL corporation,,2020,1930673430,24-03-2020,08-04-2020,24-03-2020,NAA8,51602.13
319,U001,200759878,SA co,,2020,1930783249,14-04-2020,29-04-2020,14-04-2020,NAH4,18900.99
323,U001,200794332,COST corp,,2020,1930638145,14-03-2020,29-03-2020,14-03-2020,NAAX,49467.7
324,U001,200515231,US  us,,2020,1930768145,09-04-2020,24-04-2020,09-04-2020,NAA8,10187.66
330,U001,200782669,SYGMA corp,,2020,1930636977,13-03-2020,28-03-2020,13-03-2020,NAA8,237.4
333,U001,200769623,WAL-MAR foundation,,2020,1930882979,12-05-2020,27-05-2020,12-05-2020,NAH4,11532.84
340,U001,200769623,WAL-MAR ,,2020,1930692833,24-03-2020,08-04-2020,24-03-2020,NAH4,20017.92
362,U001,200331749,SYSC foundation,,2020,1930579080,28-02-2020,14-03-2020,28-02-2020,NAA8,5320.85
363,U001,200772670,ASSOCIAT associates,,2020,1930819529,23-04-2020,08-05-2020,23-04-2020,NAU5,30900.83
383,U001,200772670,ASSOCIAT us,,2020,1930736164,02-04-2020,17-04-2020,02-04-2020,NAU5,65843.26
396,U001,200706844,WINC foundation,,2020,1930599854,04-03-2020,19-03-2020,04-03-2020,NAA8,359.44
399,U001,100043975,JAVA ,,2020,1930740345,03-04-2020,18-04-2020,03-04-2020,NAA8,1427.36
402,U001,200762301,C&S WH in,,2020,1930592552,04-03-2020,19-03-2020,04-03-2020,NAC6,99091.71
403,U001,200148860,DOLLA associates,,2020,1930732920,03-04-2020,07-06-2020,03-04-2020,NAGD,6543.44
411,CA02,100027744,OMEGA AD in,,2020,2960635652,19-05-2020,19-05-2020,19-05-2020,CAB1,4924.5
419,U001,100031704,DELHAIZE co,,2020,1930585468,01-03-2020,16-03-2020,01-03-2020,NAA8,106394.18
423,U001,200799420,HT HA foundation,,2020,1930703225,25-03-2020,09-04-2020,25-03-2020,NAA8,801.1
428,U001,200974851,RESTA systems,,2020,1930706997,26-03-2020,10-04-2020,26-03-2020,NAA8,3566.69
433,U001,200769623,WAL-MAR in,,2020,1930830709,28-04-2020,13-05-2020,28-04-2020,NAH4,8885.57
440,U001,200793568,SUPE llc,,2020,1930630388,10-03-2020,25-03-2020,10-03-2020,NAA8,15893.27
442,U001,200759878,SA foundation,,2020,1930609945,06-03-2020,21-03-2020,06-03-2020,NAH4,70180.8
445,U001,200712187,SPAR in,,2020,1930806222,20-04-2020,05-05-2020,20-04-2020,NAA8,119384.36
446,U001,100047532,KEYSTON associates,,2020,1930592834,04-03-2020,19-03-2020,04-03-2020,NAA8,11852.54
447,U001,200794332,COST co,,2020,1930562584,28-02-2020,19-03-2020,28-02-2020,NA84,11225.42
454,U001,200148860,DOLLA associates,,2020,1930699340,25-03-2020,29-05-2020,25-03-2020,NAGD,5456.75
458,U001,200794332,COST llc,,2020,1930862420,08-05-2020,23-05-2020,08-05-2020,NAAX,81500.86
468,U001,200555117,BURR trust,,2020,1930709963,27-03-2020,11-04-2020,27-03-2020,NAA8,749.14
470,U001,200769623,WAL-MAR in,,2020,1930878284,09-05-2020,24-05-2020,09-05-2020,NAH4,2219.89
471,U001,200772670,ASSOCIAT corp,,2020,1930683241,21-03-2020,05-04-2020,21-03-2020,NAU5,15489.78
473,U001,200707822,PUBLI corporation,,2020,1930857983,04-05-2020,19-05-2020,04-05-2020,NAA8,126107.91
482,CA02,140104392,FLANAG us,,2020,2960619205,06-03-2020,20-03-2020,10-03-2020,CA10,2528.673
486,U001,200769623,WAL-MAR corp,,2020,1930831780,28-04-2020,13-05-2020,28-04-2020,NAH4,11545.38
493,U001,200759878,SA systems,,2020,1930717567,31-03-2020,15-04-2020,31-03-2020,NAH4,47646.57
498,U001,200705742,DOT foundation,,2020,1930581678,28-02-2020,14-03-2020,28-02-2020,NAA8,5932.51
502,U001,200793568,SUPE trust,,2020,1930690537,23-03-2020,07-04-2020,23-03-2020,NAA8,1635.76
511,U001,200726979,BJ'S  ,,2020,1930646128,12-03-2020,27-03-2020,12-03-2020,NAA8,1286.3
516,U001,200704858,WAKE corp,,2020,1930762384,09-04-2020,24-04-2020,09-04-2020,NAA8,99568.42
519,U001,200780383,MEIJ in,,2020,1930665025,18-03-2020,02-04-2020,18-03-2020,NAA8,3612.63
520,U001,200762301,C&S WH associates,,2020,1930778021,12-04-2020,27-04-2020,12-04-2020,NAC6,102276.04
522,CA02,140106271,LONGO  in,,2020,2960626604,03-04-2020,17-04-2020,07-04-2020,CA10,8615.453
529,CA02,140104423,METRO  us,,2020,2960628851,17-04-2020,01-05-2020,21-04-2020,CA10,45059.546
531,U001,200741174,M B  co,,2020,1930657267,16-03-2020,31-03-2020,16-03-2020,NAA8,5767.83
535,CA02,100030194,AMAZO llc,,2020,2960622411,18-03-2020,30-03-2020,20-03-2020,CA10,9851.667
545,U001,200769623,WAL-MAR trust,,2020,1930720012,30-03-2020,14-04-2020,30-03-2020,NAH4,42379.83
559,U001,200592182,DECA in,,2020,1930822583,24-04-2020,09-05-2020,16-04-2020,NAM4,1761.84
571,U001,200743996,STATER  co,,2020,1930686889,22-03-2020,06-04-2020,22-03-2020,NAA8,94612.03
583,U001,200769623,WAL-MAR in,,2020,1930787980,15-04-2020,30-04-2020,15-04-2020,NAH4,22226.35
587,U001,200749782,KROG associates,,2020,1930822131,25-04-2020,10-05-2020,25-04-2020,NAA8,88502.01
596,U001,200744019,TARG corp,,2020,1930641073,13-03-2020,17-05-2020,13-03-2020,NAGD,1982.06
600,U001,200769623,WAL-MAR foundation,,2020,1930804577,21-04-2020,06-05-2020,21-04-2020,NAH4,2326.08
601,U001,200705742,DOT us,,2020,1930592413,02-03-2020,17-03-2020,02-03-2020,NAA8,9822.38
617,U001,200744019,TARG trust,,2020,1930857489,05-05-2020,20-05-2020,05-05-2020,NAA8,29592.42
619,U001,200772670,ASSOCIAT associates,,2020,1930739252,03-04-2020,18-04-2020,03-04-2020,NAU5,47903.76
620,U001,200769623,WAL-MAR corporation,,2020,1930692953,24-03-2020,08-04-2020,24-03-2020,NAH4,1898.9
625,U001,200900909,SYSCO in,,2020,1930741081,03-04-2020,18-04-2020,03-04-2020,NAA8,7524.17
627,U001,200424504,M  in,,2020,1930830032,28-04-2020,15-04-2020,15-04-2020,NACG,2428.04
629,U001,100031704,DELHAIZE trust,,2020,1930794735,16-04-2020,20-06-2020,16-04-2020,NAGD,1176.59
633,U001,200764795,SYSCO  us,,2020,1930637455,18-03-2020,19-04-2020,18-03-2020,NA32,10978.51
644,U001,200337148,COAS systems,,2020,1930587342,02-03-2020,17-03-2020,02-03-2020,NAA8,45127.79
645,U001,200416837,DEC llc,,2020,1930599382,04-03-2020,24-03-2020,01-03-2020,NAM4,398.16
649,U001,200769623,WAL-MAR llc,,2020,1930623646,09-03-2020,24-03-2020,09-03-2020,NAH4,58726.21
650,U001,200726979,BJ'S  associates,,2020,1930645815,12-03-2020,27-03-2020,12-03-2020,NAA8,588.49
658,U001,200721222,GO us,,2020,1930800642,20-04-2020,05-05-2020,20-04-2020,NAA8,25685.07
662,U001,200772595,SAFEW corporation,,2020,1930729101,02-04-2020,17-04-2020,02-04-2020,NAA8,10020.14
665,U001,200820380,SMITH'S trust,,2020,1930716191,30-03-2020,14-04-2020,30-03-2020,NAA8,48022.97
668,U001,200793568,SUPE corporation,,2020,1930779652,14-04-2020,29-04-2020,14-04-2020,NAA8,36623.03
669,U001,200706844,WINC corp,,2020,1930732708,01-04-2020,16-04-2020,01-04-2020,NAA8,22644.53
672,U001,100043975,JAVA co,,2020,1930586661,02-03-2020,17-03-2020,02-03-2020,NAA8,7212
673,U001,200769623,WAL-MAR llc,,2020,1930692548,25-03-2020,09-04-2020,25-03-2020,NAH4,15797.23
675,U001,200762301,C&S WH in,,2020,1930630515,11-03-2020,26-03-2020,11-03-2020,NAC6,2018.45
681,U001,200769623,WAL-MAR foundation,,2020,1930593446,04-03-2020,19-03-2020,04-03-2020,NAH4,14706.98
682,U001,200729290,KROGER ,,2020,1930599215,04-03-2020,19-03-2020,04-03-2020,NAA8,115494.14
685,U001,200769623,WAL-MAR us,,2020,1930827122,27-04-2020,12-05-2020,27-04-2020,NAH4,1898.9
687,U001,200769623,WAL-MAR us,,2020,1930750644,06-04-2020,21-04-2020,06-04-2020,NAH4,37684.36
688,U001,200705372,FR corporation,,2020,1930637990,13-03-2020,28-03-2020,13-03-2020,NAA8,19961.05
698,U001,200769623,WAL-MAR llc,,2020,1930675431,22-03-2020,06-04-2020,22-03-2020,NAH4,11826.09
701,U001,200742791,QUI in,,2020,1930603823,10-03-2020,25-03-2020,10-03-2020,NAA8,24843.48
703,U001,200743996,STATER  corporation,,2020,1930718352,30-03-2020,14-04-2020,30-03-2020,NAA8,32224.05
704,U001,200769623,WAL-MAR us,,2020,1930752522,06-04-2020,21-04-2020,06-04-2020,NAH4,9937.06
714,U001,200759878,SA corporation,,2020,1930752430,08-04-2020,23-04-2020,08-04-2020,NAH4,12417.47
722,U001,200762301,C&S WH us,,2020,1930584581,02-03-2020,17-03-2020,02-03-2020,NAC6,4301.57
723,U001,200769623,WAL-MAR ,,2020,1930885637,12-05-2020,27-05-2020,12-05-2020,NAH4,22549.83
728,U001,100043936,PAPA JO foundation,,2020,1930627707,10-03-2020,20-03-2020,10-03-2020,NA10,18145.19
731,U001,200744019,TARG co,,2020,1930748869,05-04-2020,20-04-2020,05-04-2020,NAA8,97776
739,U001,200794332,COST ,,2020,1930720706,02-04-2020,17-04-2020,02-04-2020,NAAX,31599.18
745,U001,200740393,LABAT ,,2020,1930585380,03-03-2020,18-03-2020,03-03-2020,NAA8,52645.42
747,U001,200769623,WAL-MAR systems,,2020,1930671465,20-03-2020,04-04-2020,20-03-2020,NAH4,21113.92
753,U001,200762301,C&S WH co,,2020,1930577119,27-02-2020,13-03-2020,27-02-2020,NAC6,137768.6
758,U001,200759878,SA in,,2020,1930748365,05-04-2020,20-04-2020,05-04-2020,NAH4,13548.66
759,U001,200759878,SA corporation,,2020,1930825574,27-04-2020,12-05-2020,27-04-2020,NAH4,35898.48
762,U001,200704858,WAKE llc,,2020,1930655118,16-03-2020,31-03-2020,16-03-2020,NAA8,109248.63
777,U001,200762301,C&S WH foundation,,2020,1930654407,16-03-2020,31-03-2020,16-03-2020,NAC6,7465.1
806,U001,200803720,DEC corporation,,2020,1930872721,07-05-2020,11-05-2020,01-05-2020,NAM2,4729.18
807,U001,200078795,H T H llc,,2020,1930861108,05-05-2020,20-05-2020,05-05-2020,NAA8,1412.26
812,U001,200519201,KROGE llc,,2020,1930709582,28-03-2020,12-04-2020,28-03-2020,NAA8,15477.22
821,U001,200744019,TARG corp,,2020,1930753198,07-04-2020,22-04-2020,07-04-2020,NAA8,19195.56
829,U001,200786288,FAMILY in,,2020,1930759958,08-04-2020,23-04-2020,08-04-2020,NAC6,66230.48
830,U001,200418007,AM systems,,2020,1930732102,02-04-2020,17-04-2020,02-04-2020,NAA8,47393.05
832,U001,200466603,SMITH'S systems,,2020,1930664246,18-03-2020,02-04-2020,18-03-2020,NAA8,142732.08
841,CA02,140106408,WAL-M associates,,2020,2960622798,23-03-2020,02-04-2020,23-03-2020,CA10,5791.485
842,U001,200762301,C&S WH in,,2020,1930721389,01-04-2020,05-06-2020,01-04-2020,NAGD,7943.13
845,U001,200761734,H E BUT associates,,2020,1930632938,10-03-2020,25-03-2020,10-03-2020,NAA8,91756.55
851,U001,200769623,WAL-MAR foundation,,2020,1930611981,08-03-2020,23-03-2020,08-03-2020,NAH4,24282.42
854,U001,200769623,WAL-MAR llc,,2020,1930793187,18-04-2020,03-05-2020,18-04-2020,NAH4,10903.6
866,U001,200769623,WAL-MAR us,,2020,1930692727,24-03-2020,08-04-2020,24-03-2020,NAH4,51516.27
867,U001,200744019,TARG us,,2020,1930813045,21-04-2020,06-05-2020,21-04-2020,NAA8,5887.21
869,U001,200726979,BJ'S  systems,,2020,1930643416,12-03-2020,27-03-2020,12-03-2020,NAA8,14149.02
872,U001,200706844,WINC co,,2020,1930760026,31-03-2020,15-04-2020,31-03-2020,NAA8,38905.5
889,U001,200418007,AM us,,2020,1930650673,14-03-2020,18-05-2020,14-03-2020,NAGD,1011.24
894,U001,200799367,MCL in,,2020,1930720975,31-03-2020,15-04-2020,31-03-2020,NAA8,124605.44
898,U001,200772595,SAFEW corporation,,2020,1930705040,25-03-2020,09-04-2020,25-03-2020,NAA8,32039.34
899,U001,200759878,SA llc,,2020,1930700242,27-03-2020,11-04-2020,27-03-2020,NAH4,50054.82
900,U001,CCU013,KRAFT F in,,2020,1930570370,28-02-2020,28-02-2020,28-02-2020,NAX2,37209.64
904,U001,200726979,BJ'S  in,,2020,1930629390,09-03-2020,24-03-2020,09-03-2020,NAA8,467.72
905,U001,200526831,PERISH associates,,2020,1930666168,19-03-2020,03-04-2020,19-03-2020,NAA8,134095.09
911,U001,200769623,WAL-MAR llc,,2020,1930845835,02-05-2020,17-05-2020,02-05-2020,NAH4,292.94
916,U001,100031704,DELHAIZE corp,,2020,1930844129,30-04-2020,15-05-2020,30-04-2020,NAA8,92271.69
918,U001,200769623,WAL-MAR in,,2020,1930662779,18-03-2020,02-04-2020,18-03-2020,NAH4,35023.47
924,U001,200020431,DEC systems,,2020,1930599834,04-03-2020,24-03-2020,01-03-2020,NAM4,4551.58
933,U001,200726979,BJ'S  ,,2020,1930730591,01-04-2020,16-04-2020,01-04-2020,NAA8,261.84
944,U001,200769623,WAL-MAR foundation,,2020,1930652678,15-03-2020,30-03-2020,15-03-2020,NAH4,33837.66
952,U001,200729942,SA ,,2020,1930798198,17-04-2020,02-05-2020,17-04-2020,NAA8,11696.53
956,U001,200705742,DOT systems,,2020,1930810367,23-04-2020,08-05-2020,23-04-2020,NAA8,8115.04
957,U001,200777735,NASH  co,,2020,1930670844,18-03-2020,02-04-2020,18-03-2020,NAA8,152067.79
973,U001,200020431,DEC us,,2020,1930617742,07-03-2020,24-03-2020,01-03-2020,NAM4,3117.84
980,U001,200769623,WAL-MAR corp,,2020,1930748572,06-04-2020,21-04-2020,06-04-2020,NAH4,1898.2
985,U001,200759878,SA systems,,2020,1930655535,16-03-2020,31-03-2020,16-03-2020,NAH4,17060.17
990,U001,100004536,BAS ,,2020,1930765834,14-04-2020,29-04-2020,14-04-2020,NAA8,3745.49
991,U001,200769623,WAL-MAR corporation,,2020,1930882579,11-05-2020,26-05-2020,11-05-2020,NAH4,9163.34
996,CA02,140104409,LOB in,,2020,2960624271,26-03-2020,07-04-2020,28-03-2020,CA10,166894.252
999,U001,200744019,TARG co,,2020,1930652649,16-03-2020,31-03-2020,16-03-2020,NAA8,1183.45
1011,U001,200769623,WAL-MAR systems,,2020,1930803693,23-04-2020,08-05-2020,23-04-2020,NAH4,53859.97
1034,CA02,140104423,METRO  corp,,2020,2960624752,01-04-2020,11-04-2020,01-04-2020,CA10,32025.364
1039,U001,200707822,PUBLI foundation,,2020,1930801025,18-04-2020,03-05-2020,18-04-2020,NAA8,61394.52
1046,U001,200782669,SYGMA systems,,2020,1930617473,09-03-2020,24-03-2020,09-03-2020,NAA8,23298.58
1056,U001,200705742,DOT corporation,,2020,1930660872,17-03-2020,20-04-2020,17-03-2020,NAAW,4041.99
1058,U001,200769623,WAL-MAR corp,,2020,1930676006,21-03-2020,05-04-2020,21-03-2020,NAH4,14666.28
1062,U001,200780383,MEIJ foundation,,2020,1930860645,06-05-2020,21-05-2020,06-05-2020,NAA8,108570.13
1063,U001,100031704,DELHAIZE trust,,2020,1930796146,17-04-2020,21-06-2020,17-04-2020,NAGD,16196.66
1064,U001,200561861,CO llc,,2020,1930774237,10-04-2020,25-04-2020,10-04-2020,NAA8,23448.25
1071,U001,200761734,H E BUT systems,,2020,1930701257,26-03-2020,10-04-2020,26-03-2020,NAA8,83095.78
1073,U001,200769623,WAL-MAR co,,2020,1930724889,01-04-2020,16-04-2020,01-04-2020,NAH4,5801.67
1074,U001,200769623,WAL-MAR us,,2020,1930677295,22-03-2020,06-04-2020,22-03-2020,NAH4,11515.66
1080,U001,200900909,SYSCO in,,2020,1930623159,09-03-2020,24-03-2020,09-03-2020,NAA8,42647.01
1081,U001,200726979,BJ'S  corporation,,2020,1930665005,18-03-2020,02-04-2020,18-03-2020,NAA8,810.96
1090,U001,200769623,WAL-MAR systems,,2020,1930719358,30-03-2020,14-04-2020,30-03-2020,NAH4,24504.26
1092,U001,200353024,DECA corporation,,2020,1930875691,08-05-2020,24-05-2020,01-05-2020,NAM4,889.08
1102,U001,200762950,HAR trust,,2020,1930671888,21-03-2020,05-04-2020,21-03-2020,NAA8,173239.52
1112,U001,200561861,CO us,,2020,1930764482,15-04-2020,30-04-2020,15-04-2020,NAA8,30316.62
1113,U001,200744019,TARG in,,2020,1930647824,13-03-2020,28-03-2020,13-03-2020,NAA8,17408.37
1119,U001,200418007,AM foundation,,2020,1930630519,13-03-2020,28-03-2020,13-03-2020,NAA8,840.67
1120,U001,200762301,C&S WH trust,,2020,1930805217,22-04-2020,07-05-2020,22-04-2020,NAC6,56261.98
1122,U001,200772670,ASSOCIAT in,,2020,1930723923,31-03-2020,15-04-2020,31-03-2020,NAU5,1655.46
1124,U001,200769623,WAL-MAR trust,,2020,1930683228,21-03-2020,05-04-2020,21-03-2020,NAH4,41629.12
1127,U001,200744019,TARG corporation,,2020,1930730322,01-04-2020,16-04-2020,01-04-2020,NAA8,54651.53
1141,U001,100047382,PETER  corporation,,2020,1930637647,13-03-2020,28-03-2020,13-03-2020,NAA8,17733.56
1150,U001,CCU002,KRFT FDS associates,,2020,1930637979,13-03-2020,17-04-2020,13-03-2020,NAG2,10648.32
1152,U001,200706844,WINC llc,,2020,1930842076,30-04-2020,15-05-2020,30-04-2020,NAA8,38169.79
1153,U001,200762301,C&S WH ,,2020,1930747271,04-04-2020,19-04-2020,04-04-2020,NAC6,3939
1156,U001,CCCA02,KRAFT  associates,,2020,1930662684,18-03-2020,22-04-2020,18-03-2020,NAG2,29972.7
1170,U001,200769623,WAL-MAR in,,2020,1930751769,06-04-2020,21-04-2020,06-04-2020,NAH4,56076.31
1172,U001,200980828,BEN E associates,,2020,1930838209,29-04-2020,19-05-2020,29-04-2020,NAD1,17770.01
1173,U001,200744019,TARG ,,2020,1930751781,06-04-2020,21-04-2020,06-04-2020,NAA8,58607.34
1177,U001,200769623,WAL-MAR corp,,2020,1930688185,24-03-2020,08-04-2020,24-03-2020,NAH4,16674.74
1182,U001,200769623,WAL-MAR co,,2020,1930843169,01-05-2020,16-05-2020,01-05-2020,NAH4,32553
1192,CA02,140106408,WAL-M us,,2020,2960624581,07-04-2020,18-04-2020,08-04-2020,CA10,58841.804
1194,U001,200769623,WAL-MAR corp,,2020,1930885491,12-05-2020,27-05-2020,12-05-2020,NAH4,52621.77
1201,U001,200936373,SUPE corporation,,2020,1930809945,23-04-2020,08-05-2020,23-04-2020,NAA8,88919.61
1202,CA02,140104285,BUY- corp,,2020,2960624684,29-03-2020,17-04-2020,07-04-2020,CA10,72782.85
1209,U001,200152991,JET associates,,2020,1930841854,30-04-2020,15-05-2020,30-04-2020,NAA8,1677.91
1210,U001,200769623,WAL-MAR systems,,2020,1930819119,23-04-2020,08-05-2020,23-04-2020,NAH4,41628.67
1214,U001,200762301,C&S WH co,,2020,1930745999,03-04-2020,18-04-2020,03-04-2020,NAC6,6832.47
1216,U001,200148860,DOLLA llc,,2020,1930637644,11-03-2020,26-03-2020,11-03-2020,NAA8,16764.17
1221,U001,CCU013,KRAFT F associates,,2020,1930681744,22-03-2020,22-03-2020,22-03-2020,NAX2,15259.08
1225,U001,200752302,KROGER co,,2020,1930733766,02-04-2020,17-04-2020,02-04-2020,NAA8,120098.69
1246,U001,200797984,PIGGLY corporation,,2020,1930585699,03-03-2020,18-03-2020,03-03-2020,NAA8,89737.26
1253,U001,200744019,TARG co,,2020,1930800326,21-04-2020,06-05-2020,21-04-2020,NAA8,16874.59
1254,U001,200726979,BJ'S  co,,2020,1930783750,15-04-2020,30-04-2020,15-04-2020,NAA8,86.77
1256,U001,100031704,DELHAIZE corp,,2020,1930744311,05-04-2020,20-04-2020,05-04-2020,NAA8,20757.8
1261,U001,200743123,KROGER corp,,2020,1930639867,12-03-2020,27-03-2020,12-03-2020,NAA8,145240.7
1262,U001,200729290,KROGER trust,,2020,1930763883,04-04-2020,19-04-2020,04-04-2020,NAA8,42613
1263,U001,200762301,C&S WH systems,,2020,1930718141,30-03-2020,14-04-2020,30-03-2020,NAC6,9987.73
1267,U001,200769623,WAL-MAR llc,,2020,1930706309,26-03-2020,10-04-2020,26-03-2020,NAH4,10921.35
1269,U001,200769623,WAL-MAR co,,2020,1930883498,10-05-2020,25-05-2020,10-05-2020,NAH4,60886.44
1277,U001,200762301,C&S WH foundation,,2020,1930674261,20-03-2020,04-04-2020,20-03-2020,NAC6,546.63
1282,U001,200705742,DOT us,,2020,1930612079,06-03-2020,07-04-2020,06-03-2020,NA32,37970.55
